"Year","Variable","SMD","Equilibre"
1997,"treecover_area_2000",0.150899805895511,"unbalanced"
1997,"slope_2000",0.0291829227530626,"Balanced"
1997,"elevation_2000",0.0635416028970259,"Balanced"
1997,"population_count_2000",0.0272098410207015,"Balanced"
1997,"traveltime_2000_2000",0.171835425863745,"unbalanced"
2008,"treecover_area_2000",0.0278236904331655,"Balanced"
2008,"slope_2000",0.0141542015533803,"Balanced"
2008,"elevation_2000",0.0248787477166797,"Balanced"
2008,"population_count_2000",0.102696531881132,"unbalanced"
2008,"traveltime_2000_2000",0.00443126910170782,"Balanced"
2011,"treecover_area_2000",0.0974339287005209,"Balanced"
2011,"slope_2000",0.000945543708349374,"Balanced"
2011,"elevation_2000",0.00826419076346324,"Balanced"
2011,"population_count_2000",0.153454512107715,"unbalanced"
2011,"traveltime_2000_2000",0.00810911491874672,"Balanced"
2013,"treecover_area_2000",0.00909523944347957,"Balanced"
2013,"slope_2000",0.00700638953392926,"Balanced"
2013,"elevation_2000",0.0169001614817576,"Balanced"
2013,"population_count_2000",0.0995887375003651,"Balanced"
2013,"traveltime_2000_2000",0.143116132862878,"unbalanced"
2016,"treecover_area_2000",0.0540515038184523,"Balanced"
2016,"slope_2000",0.00976681829516917,"Balanced"
2016,"elevation_2000",0.0684319013650376,"Balanced"
2016,"population_count_2000",0.0916450453025253,"Balanced"
2016,"traveltime_2000_2000",0.0721387196505882,"Balanced"
2021,"treecover_area_2000",0.0592592884628285,"Balanced"
2021,"slope_2000",0.114854824904018,"unbalanced"
2021,"elevation_2000",0.116005158756858,"unbalanced"
2021,"population_count_2000",0.109348242418794,"unbalanced"
2021,"traveltime_2000_2000",0.0624560065616249,"Balanced"
