NAME,STATUS_YR,IUCN_CAT,PA_AREA_KM2,STATUS,MANAGER
Agnalazaha,2008,VI,27.428273194699702,Designated,Missouri Botanical Garden
Ambararata Londa,2008,V,102.93115518263022,Designated,Not Reported
Ambatofotsy,2008,V,15.952203105094295,Designated,Association Mavoa
Ambohidray,2008,V,12.413478622185153,Designated,Département de Biologie et Écologie Végétales
Ampanganandehibe-Behasina,2008,V,5.7994344402955225,Designated,Association Mavoa
Ampasindava,2008,V,916.2527291354944,Designated,Association Famelona
Ampotaka Ankorabe,2008,V,0.9729283466022671,Designated,Association Mavoa
Analavelona,2008,III,44.20158689110433,Designated,Missouri Botanical Garden
Andrafiamena Andavakoera,2008,V,733.8136813794462,Designated,Association Fanamby
Angavo,2008,V,427.7686692176042,Designated,Not Reported
Ankarabolava,2008,VI,7.72470872474649,Designated,Missouri Botanical Garden
Beanka,2008,V,171.79744207045056,Designated,Biodiversity Conservation Madagascar
Behara-Tranomaro,2008,V,965.8349830714279,Designated,Not Reported
Bemanevika,2008,V,356.41787858426665,Designated,The Peregrine Fund
Bombetoka Beloboka,2008,V,719.9241126123771,Designated,Development and Environmental Law Center
COMATSA Nord,2008,VI,2383.332149804777,Designated,World Wide Fund for Nature
Complexe Lac Forêt Ambondrobe,2008,V,70.29154419440297,Designated,Durrell Wildlife Conservation Trust
Complexe Tsimembo Manambolomaty,2008,V,626.5931227343267,Designated,Not Reported
Complexe Zones Humides Mangoky Ihotry,2008,V,4267.541216746,Designated,Asity Madagascar
Forêt Naturel de Petriky,2008,V,3.016606875172711,Designated,QIT Madagascar Minerals
Forêt Naturelle de Tsitongambarika,2008,VI,585.5550542505513,Designated,Asity Madagascar
Galoko Kalobinono,2008,V,750.8201056596273,Designated,Missouri Botanical Garden
Mahialambo,2008,V,3.04146727148071,Designated,Association Mavoa
Makirovana Tsihomanaomby,2008,VI,33.869818367000676,Designated,Missouri Botanical Garden
Mandrozo,2008,V,151.30390342712178,Designated,Not Reported
Mangabe-Ranomena-Sahasarotra,2008,VI,271.3716741276977,Designated,Association Mavoa
Marolambo,2008,II,950.8540315760866,Designated,Madagascar National Parks
Maromizaha,2008,VI,15.804036329519223,Designated,Groupe d'Étude et de Recherche sur les Primates de Madagascar
Massif d'Ibity,2008,V,61.41223689256055,Designated,Missouri Botanical Garden
Massif d'Itremo,2008,V,247.18705943646353,Designated,"Royal Botanic Gardens, Kew"
Oronjia,2008,V,16.798465393829186,Designated,Missouri Botanical Garden
Ranobe PK 32,2008,V,1686.200943952002,Designated,Not Reported
Réserve spéciale Pointe à Larrée,2008,IV,7.7016532257084735,Designated,Missouri Botanical Garden
Sahafina,2008,V,24.05579356493425,Designated,Biodiversity Conservation Madagascar
Site Bioculturel d'Antrema,2008,VI,204.35513718565676,Designated,Museum National d'Histoire Naturelle
Sud-Ouest Ifotaky,2008,V,570.7052372500672,Designated,Not Reported
Tsinjoriake,2008,V,137.32755208138101,Designated,Association Tamia
Vohidava Betsimalao,2008,VI,181.125668838791,Designated,Missouri Botanical Garden
Vohidefo,2008,V,50.6097904883829,Designated,Not Reported
Manjakatompo Ankaratra,2013,VI,81.37183053493641,Designated,Association Lively
Agnakatrika,2015,VI,7.887591703119524,Designated,Missouri Botanical Garden
Analabe-Betanatanana,2015,VI,3.584760880745575,Designated,Association Mavoa
Analalava,2015,VI,3.8071660331850743,Designated,Association Velonala
Andreba,2015,V,0.3929780026124193,Designated,Wildlife Conservation Society
COMATSA Sud,2015,V,822.7939364310205,Designated,World Wide Fund for Nature
Complexe des  AP Ambohimirahavavy Marivorahona,2015,II,5692.465222871461,Designated,Not Reported
Loky Manambato,2015,V,2485.6115718240103,Designated,Association Fanamby
Mahimborondro,2015,VI,752.3386019834048,Designated,The Peregrine Fund
Marotandrano,2015,IV,451.25621906210307,Designated,Madagascar National Parks
Nosy Antsoha,2015,V,0.2849633779763726,Designated,Lemuria Land
Rivière Nosivolo,2015,V,67.52961848471628,Designated,Durrell Wildlife Conservation Trust
Zombitse Vohibasia,2015,II,358.4651919283609,Designated,Madagascar National Parks
Anjajavy,2017,V,96.68530226083239,Designated,Anjajavy Lodge
Kinkony Lake,2017,IV,1098.615455613806,Designated,Not Reported
Ankafobe,2018,V,1.3244108233744967,Designated,Missouri Botanical Garden
Ivohiboro,2020,V,13.138455645679265,Designated,Madagascar Institute for the Conservation of Tropical Environments
Tsinjoarivo Ambalaomby,2020,Protection temporaire,264.33590441419227,Designated,NGO Sadabe
APC Agnala,2026,Proposed AP,202.29609322635622,Proposed,Service d'Appui à la Gestion de l'Environnement
APC Loharano,2026,Proposed AP,142.90504553180634,Proposed,Service d'Appui à la Gestion de l'Environnement
APC Lovasoa,2026,Proposed AP,386.5993571284989,Proposed,Service d'Appui à la Gestion de l'Environnement
APC Miary,2026,Proposed AP,7.079481804150628,Proposed,Not Reported
APC Mikea Mitambatra,2026,Proposed AP,318.9312650803951,Proposed,Service d'Appui à la Gestion de l'Environnement
APC Vezo,2026,Proposed AP,26.079268798951535,Proposed,Service d'Appui à la Gestion de l'Environnement
Ankingabe,2026,Proposed AP,8.993102944150287,Proposed,Lemuria Land
Ankirihitra,2026,Proposed AP,1613.3996137253819,Proposed,Impact Madagascar
Beampingaratsy,2026,Proposed AP,1187.8566920535584,Proposed,Nitidae
Complexe Bobaomby,2026,Proposed AP,352.04648044342855,Proposed,Association Mavoa
Madiro Mirafy,2026,Proposed AP,715.965719016767,Proposed,Impact Madagascar
Makay,2026,Proposed AP,4056.3647036029033,Proposed,Malagasy Miarony Natiora
Vohimana,2026,Proposed AP,20.654291913938764,Proposed,Man and the Environment
